dataset	x	y	n	x_mean	y_mean	pearson	spearman	group
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	1.015036346197517	0.0016479629629629997	0.9999987118303909	0.9999999999999999	subckt_0240
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	-0.0128150865301466	-5.4444444444538886e-05	0.9999996914393734	1.0	subckt_0241
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	108	-0.031057281610177363	-6.537037037031557e-05	0.9999971416279025	1.0	subckt_0256
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	-0.041403618821588495	-0.00030796296296299835	0.999985026273749	1.0	subckt_0260
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	-2.9466545550566394	-0.019391111111111078	0.9999995332321839	1.0	subckt_0261
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	-2.498410601809815	-0.0029466666666666335	0.9999999999999998	1.0	subckt_0266
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	0.10129058315365971	0.00013388888888899185	0.9999999663508553	1.0	subckt_0267
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	72	-0.08456567045059556	-0.00040208333333323614	0.9999933847833312	1.0	subckt_0275
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	18	5.937050376769924	0.008455555555555487	0.9999998119209527	1.0	subckt_0279
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	-0.22728595233208604	-0.00038574074074072774	0.9999995342570966	1.0	subckt_0288
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	0.23908289178236963	0.0002905555555556163	0.9999993031259186	1.0	subckt_0289
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	0.4289724647117945	0.000504444444444444	0.9999997015260885	0.9999999999999998	subckt_0292
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	18	8.8177684877423	0.05275944444444443	0.9999814388263765	1.0	subckt_0297
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	36	-0.041474027036827066	-0.0001850000000000974	0.99999138313479	1.0	subckt_0300
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	-1.2163554017993048	-0.007516666666666609	0.9999986176271216	1.0	subckt_0313
oracle_balanced_train_wide	inferred_delta_hard_count	oracle_delta_tc	54	1.869444421108837	0.0063900000000000215	0.9999993299446835	0.9999999999999999	subckt_0315
