dataset	group	x	y	n	x_mean	y_mean	pearson	spearman	x_min	x_max	y_min	y_max
oracle_balanced_train_wide	subckt_0385	oracle_hard_fault_count	oracle_test_coverage	72	11.055555555555555	0.9826306944444444	-0.9994780089981561	-0.6295891480897653	10	13	0.97956	0.98433
oracle_balanced_train_wide	subckt_0385	oracle_hard_fault_count	oracle_fault_coverage	72	11.055555555555555	0.9826306944444444	-0.9994780089981561	-0.6295891480897653	10	13	0.97956	0.98433
oracle_balanced_train_wide	subckt_0385	oracle_hard_fault_count	oracle_delta_tc	72	11.055555555555555	-1.9305555555658696e-05	-0.9994780089981545	-0.6295891480897653	10	13	-0.00309	0.00168
oracle_balanced_train_wide	subckt_0385	oracle_hard_fault_count	oracle_delta_fault_coverage	72	11.055555555555555	-1.9305555555658696e-05	-0.9994780089981545	-0.6295891480897653	10	13	-0.00309	0.00168
oracle_balanced_train_wide	subckt_0385	oracle_hard_fault_count	oracle_undetected_fault_count	72	11.055555555555555	11.055555555555555	1.0	1.0	10	13	10.0	13.0
oracle_balanced_train_wide	subckt_0387	oracle_hard_fault_count	oracle_test_coverage	108	10.101851851851851	0.963218611111111	-0.996738115386236	-0.5530763056067609	9	12	0.9562	0.96715
oracle_balanced_train_wide	subckt_0387	oracle_hard_fault_count	oracle_fault_coverage	108	10.101851851851851	0.963218611111111	-0.996738115386236	-0.5530763056067609	9	12	0.9562	0.96715
oracle_balanced_train_wide	subckt_0387	oracle_hard_fault_count	oracle_delta_tc	108	10.101851851851851	-2.1388888888974947e-05	-0.9967381153862344	-0.5530763056067609	9	12	-0.0070399999999999	0.00391
oracle_balanced_train_wide	subckt_0387	oracle_hard_fault_count	oracle_delta_fault_coverage	108	10.101851851851851	-2.1388888888974947e-05	-0.9967381153862344	-0.5530763056067609	9	12	-0.0070399999999999	0.00391
oracle_balanced_train_wide	subckt_0387	oracle_hard_fault_count	oracle_undetected_fault_count	108	10.101851851851851	10.101851851851851	0.9999999999999999	1.0	9	12	9.0	12.0
oracle_balanced_train_wide	subckt_0390	oracle_hard_fault_count	oracle_test_coverage	36	3.0277777777777777	0.9882900000000004	-0.9979387359967813	-0.3464101615137754	3	4	0.9845	0.98846
oracle_balanced_train_wide	subckt_0390	oracle_hard_fault_count	oracle_fault_coverage	36	3.0277777777777777	0.9882900000000004	-0.9979387359967813	-0.3464101615137754	3	4	0.9845	0.98846
oracle_balanced_train_wide	subckt_0390	oracle_hard_fault_count	oracle_delta_tc	36	3.0277777777777777	9.999999999992432e-06	-0.9979387359967895	-0.3464101615137754	3	4	-0.00378	0.0001799999999999
